1551942900000,3872.43000000,3876.50000000,3872.43000000,3874.37000000,65.90728400,1551943199999,255355.40159965,456,34.49623900,133649.58750310,0
1551943200000,3874.31000000,3877.55000000,3872.94000000,3877.45000000,46.86747900,1551943499999,181621.99225726,410,26.16347000,101397.73694118,0
1551943500000,3876.61000000,3877.56000000,3873.23000000,3874.51000000,50.89039800,1551943799999,197233.92274410,460,28.03299300,108659.92447396,0
1551943800000,3874.51000000,3875.00000000,3874.00000000,3874.94000000,53.59957000,1551944099999,207681.39686405,359,32.00314400,124008.14787380,0
1551944100000,3874.03000000,3875.92000000,3870.00000000,3873.39000000,96.00580800,1551944399999,371759.48075903,547,54.99437000,212959.80364906,0
1551944400000,3873.98000000,3877.24000000,3872.73000000,3876.36000000,66.32004600,1551944699999,256981.65730175,455,39.02435900,151210.38700815,0
1551944700000,3876.94000000,3879.00000000,3875.99000000,3878.93000000,59.81791700,1551944999999,231953.95178111,500,29.24610300,113414.17877938,0
1551945000000,3878.94000000,3881.01000000,3878.93000000,3879.71000000,51.16238600,1551945299999,198512.19230255,484,24.39904800,94672.04174915,0
1551945300000,3879.69000000,3881.25000000,3878.66000000,3880.00000000,37.14016200,1551945599999,144092.19810938,369,17.22459500,66830.70853109,0
1551945600000,3880.17000000,3880.20000000,3873.58000000,3874.40000000,51.38495700,1551945899999,199185.97227823,451,24.19001100,93763.68062710,0
1551945900000,3874.57000000,3877.38000000,3873.60000000,3873.60000000,48.33099500,1551946199999,187292.15076376,431,20.16369600,78142.23234844,0
1551946200000,3874.01000000,3874.43000000,3870.44000000,3871.96000000,57.75836500,1551946499999,223659.70367339,412,22.12570900,85685.27191264,0
1551946500000,3871.95000000,3873.24000000,3865.42000000,3868.82000000,73.11432800,1551946799999,282881.99169882,499,43.68885700,169043.44225598,0
1551946800000,3868.30000000,3874.32000000,3868.00000000,3870.45000000,57.74711700,1551947099999,223556.10418463,516,37.16178900,143851.55503445,0
1551947100000,3870.45000000,3870.91000000,3860.50000000,3863.11000000,81.61980400,1551947399999,315587.26745455,661,40.26335400,155659.40142934,0
1551947400000,3862.53000000,3867.40000000,3861.97000000,3866.59000000,61.56657200,1551947699999,237912.33986623,524,21.35136500,82524.75399952,0
